序号,物料代码,物料名称,多工艺编号,设备代码,生产线,工序,工装代码,工装数量,MaxT,产能_第1期,产能_第2期,产能_第3期
41,MN-201140518,机罩下侧板总成,1,涂装-1,涂装线,涂装,,0,1,1.05,0,0
42,MN-201140518,机罩下侧板总成,1,焊接设备4,焊接线,TB三代机罩下侧板焊合工位,,0,1,1.6,0,0
43,MN-200839408,后桥壳体总成,1,焊接设备2,焊接线,焊接,,0,1,2.2,0,0
44,MN-200839408,后桥壳体总成,1,涂装-2,涂装线,涂装,,0,1,1.5,0,0
45,MN-201140509/50,机罩焊合总成/琉璃黑,1,涂装-1,涂装线,涂装,,0,1,4.166666666666667,0,0
46,MN-201140509/50,机罩焊合总成/琉璃黑,2,涂装-2,涂装线,涂装,,0,1,5.833333333333333,0,0
47,MN-201140509,机罩焊合总成,1,焊接设备1,焊接线,TB三代机罩前部焊合工位,,0,1,3,0,0
48,MN-201140509,机罩焊合总成,1,焊接设备2,焊接线,TB三代机罩焊合工位,,0,1,2.6,0,0
49,MN-201140509,机罩焊合总成,1,焊接设备3,焊接线,TB三代机罩打磨清渣工位,,0,1,4.6,0,0
50,MN-TM4C1A,差速转向全履带整机,1,装配1,总装一线,底盘装配,,0,1,12.5,0,0
51,MN-TM4C1A,差速转向全履带整机,1,装配2,总装一线,安装动力总成,,0,1,12.5,0,0
52,MN-TM4C1A,差速转向全履带整机,1,装配3,总装一线,安装驾驶室及覆盖件,,0,1,12.5,0,0
53,MN-TM4C1A,差速转向全履带整机,1,装配4,总装一线,安装车轮及行走系统,,0,1,12.5,0,0
54,MN-TM4C1A,差速转向全履带整机,1,装配5,总装一线,最终检测调试,,0,1,12.5,0,0
55,MN-TM4C1A,差速转向全履带整机,2,装配6,总装一线,底盘装配,,0,1,12.5,0,0
56,MN-TM4C1A,差速转向全履带整机,2,装配7,总装一线,安装动力总成,,0,1,12.5,0,0
57,MN-TM4C1A,差速转向全履带整机,2,装配8,总装一线,安装驾驶室及覆盖件,,0,1,12.5,0,0
58,MN-TM4C1A,差速转向全履带整机,2,装配9,总装一线,安装车轮及行走系统,,0,1,12.5,0,0
59,MN-TM4C1A,差速转向全履带整机,2,装配10,总装一线,最终检测调试,,0,1,9.166666666666666,0,0
60,MN-201547725/51,驾驶室焊装总成/亚光黑,1,涂装-1,涂装线,涂装,,0,1,13.333333333333334,0,0
61,MN-201547725/51,驾驶室焊装总成/亚光黑,2,涂装-2,涂装线,涂装,,0,1,13.333333333333334,0,0
62,MN-201547725/50,驾驶室焊装总成琉璃黑,1,涂装-1,涂装线,涂装,,0,1,13.333333333333334,0,0
63,MN-201547725/50,驾驶室焊装总成琉璃黑,2,涂装-2,涂装线,涂装,,0,1,13.333333333333334,0,0
64,MN-201547725,驾驶室焊装总成,1,焊接设备1,焊接线,TB驾驶室机器人地板焊合工位,Fixt-2,1,1,5.5,0,0
65,MN-201547725,驾驶室焊装总成,1,焊接设备2,焊接线,TB驾驶室大装焊合工位,,0,1,5.5,0,0
66,MN-201547725,驾驶室焊装总成,1,焊接设备3,焊接线,TB驾驶室翻转补焊1,,0,1,5.5,0,0
67,MN-201547725,驾驶室焊装总成,1,焊接设备4,焊接线,TB驾驶室翻转补焊2,,0,1,5.5,0,0
68,MN-201547725,驾驶室焊装总成,1,焊接设备5,焊接线,TB驾驶室补焊,,0,1,5.5,0,0
69,MN-201211289/53,机罩焊合总成琉璃黑(出口),1,涂装-1,涂装线,涂装,,0,1,6.375,0,0
71,MN-201211289,机罩焊合总成,1,焊接设备1,焊接线,TD三代机罩前部焊合工位,,0,1,3,0,0
72,MN-201211289,机罩焊合总成,1,焊接设备2,焊接线,TD三代机罩焊合工位,,0,1,3,0,0
73,MN-201211289,机罩焊合总成,1,焊接设备3,焊接线,TD三代机罩补焊工位,,0,1,3,0,0
74,MN-201211289,机罩焊合总成,1,焊接设备4,焊接线,TD三代机罩打磨清渣工位,,0,1,3,0,0
75,MN-200837075/10,机罩上盖板焊合/雷欧蓝,1,涂装-1,涂装线,涂装,,0,1,3.9,0,0
76,MN-200837075,机罩上盖板焊合,1,焊接设备4,焊接线,TD三代机罩上板焊合工位,,0,1,1,0,0
77,MN-TDPYSJ01/51,底盘颜色件01/亚光黑,1,涂装-1,涂装线,涂装,,0,1,21.1,0,0
78,MN-TM4C2A,差速转向全履带整机,1,装配1,总装一线,底盘装配,,0,1,8.333333333333334,0,0
79,MN-TM4C2A,差速转向全履带整机,1,装配2,总装一线,安装动力总成,,0,1,25,0,0
80,MN-TM4C2A,差速转向全履带整机,1,装配3,总装一线,安装驾驶室及覆盖件,,0,1,25,0,0
81,MN-TM4C2A,差速转向全履带整机,1,装配4,总装一线,安装车轮及行走系统,,0,1,25,0,0
82,MN-TM4C2A,差速转向全履带整机,1,装配5,总装一线,最终检测调试,,0,1,25,0,0
83,MN-201307086,变速箱壳体,1,机加1,机加一线,精铣,,0,1,1.9,0,0
84,MN-201307086,变速箱壳体,1,机加1,机加一线,粗镗,,0,1,1.33,0,0
85,MN-201307086,变速箱壳体,1,机加2,机加一线,钻孔,,0,1,2.5,0,0
86,MN-201307086,变速箱壳体,1,机加3,机加一线,壳体清洗,,0,1,0.33,0,0
87,MN-201308086,变速箱壳体,1,机加1,机加一线,粗镗,,0,1,1.5,0,0
88,MN-201308086,变速箱壳体,1,机加2,机加一线,钻孔,,0,1,1.95,0,0
89,MN-201308086,变速箱壳体,1,机加3,机加一线,壳体清洗,,0,1,0.35,0,0
90,MN-201443902,后桥壳体,1,机加1,机加一线,精铣,,0,1,1.9,0,0
91,MN-201443902,后桥壳体,1,机加1,机加一线,粗镗,,0,1,1.3333333333333333,0,0
92,MN-201443902,后桥壳体,1,机加2,机加一线,钻孔,,0,1,2.5,0,0
93,MN-201443902,后桥壳体,1,机加3,机加一线,壳体清洗,,0,1,0.3333333333333333,0,0
94,MN-201590784/51,驾驶室焊装总成/亚光黑,1,涂装-1,涂装线,涂装,,0,1,26.865,0,0
95,MN-201590784,驾驶室焊装总成,1,焊接设备1,焊接线,TB驾驶室机器人地板焊合工位,,0,3,5.5,0,0
96,MN-201590784,驾驶室焊装总成,1,焊接设备2,焊接线,TB驾驶室大装焊合工位,,0,3,7.5,0,0
97,MN-201590784,驾驶室焊装总成,1,焊接设备3,焊接线,TB驾驶室翻转补焊1,,0,3,0,7.5,0
98,MN-201590784,驾驶室焊装总成,1,焊接设备4,焊接线,TB驾驶室翻转补焊2,,0,3,0,7.5,0
99,MN-201590784,驾驶室焊装总成,1,焊接设备5,焊接线,TB驾驶室补焊,,0,3,0,0,7.5
100,MN-TM3G2A4,轮式整机(驾驶室),1,装配1,总装一线,底盘装配,,0,1,19.333333333333332,0,0
101,MN-TM3G2A4,轮式整机(驾驶室),1,装配2,总装一线,安装动力总成,,0,1,19.333333333333332,0,0
102,MN-TM3G2A4,轮式整机(驾驶室),1,装配3,总装一线,安装驾驶室及覆盖件,,0,1,19.333333333333332,0,0
103,MN-TM3G2A4,轮式整机(驾驶室),1,装配4,总装一线,安装车轮及行走系统,,0,1,19.333333333333332,0,0
104,MN-TM3G2A4,轮式整机(驾驶室),1,装配5,总装一线,最终检测调试,,0,1,19.333333333333332,0,0
105,MN-200839405,后桥壳体,1,机加1,机加一线,精铣,,0,1,1.9,0,0
106,MN-200839405,后桥壳体,1,机加1,机加一线,粗镗,,0,1,1.3333333333333333,0,0
107,MN-200839405,后桥壳体,1,机加2,机加一线,钻孔,,0,1,2.5,0,0
108,MN-200839405,后桥壳体,1,机加3,机加一线,壳体清洗,,0,1,0.3333333333333333,0,0
109,MN-200914310/10,右下侧板焊合/雷欧蓝,1,涂装-1,涂装线,涂装,,0,1,1.05,0,0
110,MN-200914310,右下侧板焊合,1,焊接设备4,焊接线,TB三代机罩下侧板焊合工位,,0,1,1.6,0,0
111,MN-201448652/10,左下侧板焊合/雷欧蓝,1,涂装-1,涂装线,涂装,,0,1,1.08,0,0
112,MN-201448652,左下侧板焊合,1,焊接设备5,焊接线,TB三代机罩下侧板焊合工位,,0,1,1.6,0,0
113,MN-TM3B2AL,轮式整机(驾驶室),1,装配1,总装一线,底盘装配,,0,1,25,0,0
114,MN-TM3B2AL,轮式整机(驾驶室),1,装配2,总装一线,安装动力总成,,0,1,25,0,0
115,MN-TM3B2AL,轮式整机(驾驶室),1,装配3,总装一线,安装驾驶室及覆盖件,,0,1,25,0,0
116,MN-TM3B2AL,轮式整机(驾驶室),1,装配4,总装一线,安装车轮及行走系统,,0,1,25,0,0
117,MN-TM3B2AL,轮式整机(驾驶室),1,装配5,总装一线,最终检测调试,,0,1,25,0,0
118,MN-TM3B2AN,轮式整机(驾驶室),1,装配6,总装一线,底盘装配,,0,1,20,0,0
119,MN-TM3B2AN,轮式整机(驾驶室),1,装配7,总装一线,安装动力总成,,0,1,20,0,0
120,MN-TM3B2AN,轮式整机(驾驶室),1,装配8,总装一线,安装驾驶室及覆盖件,,0,1,20,0,0
121,MN-TM3B2AN,轮式整机(驾驶室),1,装配9,总装一线,安装车轮及行走系统,,0,1,20,0,0
122,MN-TM3B2AN,轮式整机(驾驶室),1,装配10,总装一线,最终检测调试,,0,1,20,0,0
123,MN-200837075/23,机罩上盖板焊合信号黄,1,涂装-1,涂装线,涂装,,0,1,3.9,0,0
124,MN-TM3G2A5,轮式整机(驾驶室),1,装配1,总装一线,底盘装配,,0,1,19.333333333333332,0,0
125,MN-TM3G2A5,轮式整机(驾驶室),1,装配2,总装一线,安装动力总成,,0,1,19.333333333333332,0,0
126,MN-TM3G2A5,轮式整机(驾驶室),1,装配3,总装一线,安装驾驶室及覆盖件,,0,1,19.333333333333332,0,0
127,MN-TM3G2A5,轮式整机(驾驶室),1,装配4,总装一线,安装车轮及行走系统,,0,1,19.333333333333332,0,0
128,MN-TM3G2A5,轮式整机(驾驶室),1,装配5,总装一线,最终检测调试,,0,1,19.333333333333332,0,0
129,MN-TM3G2A5,轮式整机(驾驶室),2,装配6,总装一线,底盘装配,,0,1,19.333333333333332,0,0
130,MN-TM3G2A5,轮式整机(驾驶室),2,装配7,总装一线,安装动力总成,,0,1,19.333333333333332,0,0
131,MN-TM3G2A5,轮式整机(驾驶室),2,装配8,总装一线,安装驾驶室及覆盖件,,0,1,19.333333333333332,0,0
132,MN-TM3G2A5,轮式整机(驾驶室),2,装配9,总装一线,安装车轮及行走系统,,0,1,19.333333333333332,0,0
133,MN-TM3G2A5,轮式整机(驾驶室),2,装配10,总装一线,最终检测调试,,0,1,19.333333333333332,0,0
